Subj,zygosity,Age,FE,Update_all,exp_all,fam_all,viv_all,neg_all,EEAll,learning_all,subjectivelearning,N_Correct_perc,Subj,FE,Gender,Age.Gender
52731,DZ,62,34.75,10.175,1.65,3.2,5.15,5.05,11.7,0.516007723,0.619765744,5,52731,34.75,1,62
52732,DZ,62,25.15,10.85,1.9,2.05,1.95,2.4,25.3,0.278228587,0.802374839,2.5,52732,25.15,1,62
53081,DZ,59,28.75,-0.575,1.35,1.2,2.5,3.8,19.2,0.253036903,-0.19190872,2.5,53081,28.75,1,59
53082,DZ,59,22.225,3.65,1.25,2.65,3.5,3.85,22.825,0.103782552,0.216705343,0,53082,22.225,1,59
53101,MZ,62,28.2,1.325,1.45,3.15,4.05,3.1,20.35,-0.279000318,-0.278790638,0,53101,28.2,1,62
53102,MZ,62,32.925,3.625,1.3,4.4,5.3,3.05,22.375,0.147180684,0.430650144,0,53102,32.925,1,62
53551,DZ,61,34.9,10.225,1.45,3.7,4.15,3.3,15.3,0.218502427,-0.318259559,0,53551,34.9,1,61
53552,DZ,61,37.425,0.2,1.5,3.75,2.25,4.65,12.375,0.276686941,0.763072906,0,53552,37.425,1,61
53561,DZ,65,37.45,16.225,1.55,2.25,4.6,4.2,17.3,0.327843974,0.720582761,5,53561,37.45,1,65
53562,DZ,65,36.175,0.025,1.6,1.8,2.45,2.45,16.125,0.024726866,-0.148638618,7.5,53562,36.175,1,65
53751,DZ,64,34.025,26.825,1.75,3.05,3.7,4.75,27.325,0.749385957,0.765347461,10,53751,34.025,1,64
53752,DZ,64,39.425,21.45,1.65,2.8,5.6,5.7,22.375,0.809468323,0.621219595,2.5,53752,39.425,1,64
53791,DZ,44,33.375,-0.275,1.55,2.15,1.9,2.25,14.425,0.235128153,0.333760087,0,53791,33.375,1,44
53792,DZ,44,31.3,5.55,1.3,4.3,3.45,5.15,24.3,0.051073359,-0.325488682,0,53792,31.3,1,44
53981,MZ,60,36.075,6.6,1.35,2.35,2.7,3.8,12.475,0.532796136,0.779174361,5,53981,36.075,1,60
53982,MZ,60,36.525,11.8,1.5,2.3,2.1,5.5,15.675,0.764636508,0.842800671,5,53982,36.525,1,60
54661,DZ,68,55.525,6.175,1.55,2.75,4,2.25,19.725,0.037957471,0.622087989,0,54661,55.525,1,68
54662,DZ,68,26.225,1.1,1.6,1.5,2.05,4.75,22.375,0.028518357,0.474892931,0,54662,26.225,1,68
54691,DZ,58,37.675,17.7,1.4,3.4,5.75,4.1,22.175,0.229806106,0.59819827,7.5,54691,37.675,1,58
54692,DZ,58,42.175,15.05,1.2,2.8,3.25,5.05,17.075,0.738970847,0.77170594,2.5,54692,42.175,1,58
54811,MZ,63,38.5,6.65,2.15,4.7,5.35,5.85,22.55,0.251710608,0.379502001,5,54811,38.5,1,63
54812,MZ,63,46.3,16.375,2,3.35,4.5,3.9,20.1,0.607795905,0.738848679,2.5,54812,46.3,1,63
54881,DZ,59,29.8,1.8,1.8,5.25,4.05,5.6,18.85,-0.039406497,-0.133019761,0,54881,29.8,1,59
54882,DZ,59,35.025,1.4,1.35,3.55,2.4,5.65,14.775,0.031168337,0.742419957,5,54882,35.025,1,59
55231,DZ,59,33.125,7.225,1.7,2.8,3.6,4.85,25.775,0.028789614,0.405824074,0,55231,33.125,1,59
55232,DZ,59,29.35,5.125,1.4,3.65,4.75,3.85,22.55,-0.075302967,0.05760997,2.5,55232,29.35,1,59
55411,DZ,65,32.65,12.875,1.3,3.3,3.9,4.5,15.15,0.758777033,0.864412752,5,55411,32.65,2,130
55412,DZ,65,32.5,-5.25,1.6,1.95,2.55,4.45,13.1,-0.002149368,0.181787326,0,55412,32.5,2,130
55911,DZ,66,41.475,2.075,2.3,2.55,3.75,2.05,21.875,0.359135681,0.427031083,0,55911,41.475,1,66
55912,DZ,66,38.7,18.825,1.2,2.15,4.75,1.25,20.95,0.731744773,0.657744459,2.5,55912,38.7,1,66
57511,MZ,48,25.925,4.85,1.65,3,5.6,3.7,26.425,-0.244464319,-0.018621654,7.5,57511,25.925,1,48
57512,MZ,48,30.225,7.675,1.4,2.75,4.3,3.8,20.575,0.162278595,0.087776467,10,57512,30.225,1,48
57841,MZ,69,31.125,3.425,1.95,3.05,3.35,3.2,18.475,0.274247125,0.499721121,0,57841,31.125,1,69
57842,MZ,69,19.075,1.85,1.6,2.4,2.4,4.85,26.625,-0.017757785,0.303149941,2.5,57842,19.075,1,69
57851,MZ,49,37.75,11.95,1.95,3.2,3.4,2.95,14.25,0.852617746,0.834695704,10,57851,37.75,2,98
57852,MZ,49,37.975,5.675,2.15,2.8,3.35,3.95,17.375,0.238645368,-0.019586788,5,57852,37.975,2,98
58301,DZ,54,39.175,3.225,2.45,3.85,3.45,4.2,23.825,0.004290132,0.089554961,5,58301,39.175,1,54
58302,DZ,54,39.825,9.45,3,4.2,4.25,3.3,18.125,0.738389965,0.519010849,7.5,58302,39.825,1,54
58701,DZ,74,11.725,-0.9,1.85,4.05,3.9,2.2,29.975,0.162280932,0.505911718,0,58701,11.725,2,148
58702,DZ,74,13.375,-0.5,1.2,1.3,1.9,5.45,27.475,0.082640947,0.687364539,0,58702,13.375,2,148
58801,DZ,63,22.5,3.75,1.4,4,5.45,4.45,22.8,0.276788128,0.272151838,5,58801,22.5,2,126
58802,DZ,63,38.1,16.6,1.4,4.65,5.45,4.7,19.35,0.605434961,0.599909938,2.5,58802,38.1,2,126
59111,DZ,61,37.075,3.375,2.25,3.2,3.15,5.35,28.975,0.087573513,0.579316738,0,59111,37.075,1,61
59112,DZ,61,21.6,-0.4,1.7,5,4.6,3.85,27.55,0.146363536,0.938089314,0,59112,21.6,1,61
59351,DZ,41,36.875,14.5,1.85,1.75,2.3,2.75,21.975,-0.089053556,0.109683145,12.5,59351,36.875,2,82
59352,DZ,41,41.575,11.95,1.45,3.9,3.45,4.35,14.675,0.625218309,0.948781894,10,59352,41.575,2,82
59681,DZ,60,44.375,2.775,1.85,5.05,5.45,4.4,25.375,-0.277117158,-0.232976111,2.5,59681,44.375,1,60
59682,DZ,60,46.7,7.075,2.75,4.85,4.6,4.6,17.85,0.259205762,0.468902104,2.5,59682,46.7,1,60
59831,MZ,74,25.55,1.8,1.25,3,3.05,1.95,21.45,0.068239306,0.137095152,2.5,59831,25.55,1,74
59832,MZ,74,24.3,2.825,1.25,2.65,5.55,6,25.25,-0.085668842,0.273316475,0,59832,24.3,1,74
60521,MZ,78,12.45,-1.35,1.1,1.25,1.2,6,28.35,0.101439852,0.398835074,0,60521,12.45,1,78
60522,MZ,78,27.825,7.775,1.05,2.6,3.7,4.75,20.725,-0.003676837,0.200413846,0,60522,27.825,1,78
60911,MZ,66,44.6,16.75,2.15,4.35,4.5,4.3,19.15,0.133555737,0.888349946,0,60911,44.6,1,66
60912,MZ,66,35.15,9.675,2.3,4.65,3.1,4.65,19.2,0.275464739,0.56257112,2.5,60912,35.15,1,66
64011,MZ,33,42.7,6.925,1.8,5,6,6,23.1,0.056467791,-0.019765294,0,64011,42.7,1,33
64012,MZ,33,35.475,7.875,1.35,4.45,2.8,4.9,22.725,0.105533782,0.418609467,2.5,64012,35.475,1,33
64161,MZ,59,38.45,5.7,1.4,4.45,6,3.6,17.35,0.18114843,0.564970323,0,64161,38.45,1,59
64162,MZ,59,34.35,9.425,1.45,2.1,2.05,2.55,17.65,0.057913734,0.906641735,0,64162,34.35,1,59
64551,DZ,45,38.125,9.775,1.45,2.45,2.85,3.6,18.275,0.418493889,0.655084911,0,64551,38.125,1,45
64552,DZ,45,37.625,13.1,1.55,2.35,2.9,3.2,13.875,0.602887089,0.847470373,12.5,64552,37.625,1,45
65261,MZ,65,20.65,20.975,1.9,1.45,3.55,4.35,22.75,0.752046739,0.742434939,5,65261,20.65,1,65
65262,MZ,65,14.7,0.725,1.1,3,2.9,4.85,26.2,0.038239702,0.748526653,0,65262,14.7,1,65
65441,DZ,53,38.925,11.6,1.65,4.6,5.05,5.9,14.775,0.542886699,0.844794227,2.5,65441,38.925,1,53
65442,DZ,53,38.325,7,3.65,4.4,4.95,4.55,19.825,0.200774265,0.434391093,0,65442,38.325,1,53
67921,DZ,43,43.45,7.55,2.15,2.85,4.45,4.95,21.25,0.177428742,0.260701764,2.5,67921,43.45,1,43
67922,DZ,43,38.925,11.575,1.4,2.55,3.15,5.3,20.275,0.416762566,0.318153936,2.5,67922,38.925,1,43
67941,MZ,33,31.3,1.625,1.8,3.6,2.95,2.45,19.7,-0.059593403,0.281369476,5,67941,31.3,1,33
67942,MZ,33,39.425,0.925,2.2,3.55,3.75,4.55,11.225,0.21868258,0.278660539,7.5,67942,39.425,1,33
68111,MZ,49,26.925,4.475,1.6,3.35,3.6,4.3,22.375,-0.210292761,-0.36565596,5,68111,26.925,1,49
68112,MZ,49,28.6,3.725,1.4,1.75,2.7,4.35,16.2,-0.235276152,-0.157504113,7.5,68112,28.6,1,49
68131,MZ,57,37.675,5.175,1.2,2.9,2.5,4.6,17.925,-0.082321544,0.67468994,2.5,68131,37.675,1,57
68132,MZ,57,39.175,0.775,1.95,3,1.95,4.2,18.625,0.317672572,0.194253813,2.5,68132,39.175,1,57
68171,MZ,66,33.025,5.7,1.65,5.25,6,4.7,19.025,0.072413539,0.0813157,2.5,68171,33.025,1,66
68172,MZ,66,34.325,13.65,2.15,3.65,3,4.65,23.125,0.228788174,0.709665667,2.5,68172,34.325,1,66
68401,MZ,64,44.7,2.2,2.75,3.15,4.8,4.95,18.2,0.374409481,0.365912951,0,68401,44.7,1,64
68402,MZ,64,38.7,10.5,2.25,2.4,2.8,4.65,26.45,-0.058583436,0.803321142,2.5,68402,38.7,1,64
69031,MZ,49,27.675,3.425,1.6,6,3.4,2.85,22.075,-0.230841555,0.100754637,5,69031,27.675,1,49
69032,MZ,49,37.275,13.7,1.35,5.2,4.55,4.5,15.725,0.659965834,0.964334603,5,69032,37.275,1,49
70631,MZ,50,24.15,21.275,1.45,3.95,4,3.7,23.8,0.674769431,0.680639106,7.5,70631,24.15,1,50
70632,MZ,50,22.6,21.575,1.9,4.45,2.8,2.85,25.75,0.526573225,0.515407627,7.5,70632,22.6,1,50
71271,MZ,27,36.3,8.95,1.45,3.95,3.85,4.7,15.6,0.563310629,0.785347515,5,71271,36.3,1,27
71272,MZ,27,41.55,5.475,1.35,4.35,3.1,3.8,22.95,0.49652409,0.006938386,2.5,71272,41.55,1,27
71601,MZ,65,29.075,0.925,1.4,3.25,1.95,3.8,18.975,0.223069635,-0.093690583,2.5,71601,29.075,1,65
71602,MZ,65,29.075,0.95,1.55,3.25,2.45,4.9,15.425,0.186803294,0.046882933,2.5,71602,29.075,1,65
71671,MZ,59,29.25,5.575,1.6,3.25,3.4,3.9,18.15,0.278321305,0.528940574,5,71671,29.25,1,59
71672,MZ,59,22.6,7.625,1.4,1.9,2.85,3.05,29.6,-0.051840415,0.068918031,5,71672,22.6,1,59
72311,MZ,40,30.375,1.75,1.7,4.05,4.55,4.85,18.575,0.390821559,0.311216998,5,72311,30.375,1,40
72312,MZ,40,34.3,-1.275,1.85,3.2,4.95,4.6,15,0.061214573,-0.151132071,2.5,72312,34.3,1,40
72421,MZ,46,39.05,18.5,1.25,2.2,1.85,3.15,18.35,0.726844102,0.819606125,5,72421,39.05,1,46
72422,MZ,46,35.55,17.475,1.5,3.05,3.45,4.75,16.95,0.773263499,0.894882838,0,72422,35.55,1,46
73071,MZ,69,29.275,4.35,1.4,2.4,2.75,5.55,23.125,0.178920859,0.179744576,0,73071,29.275,2,138
73072,MZ,69,29.875,5.95,1.65,4.35,2.55,4.9,23.275,0.063645653,0.275342939,2.5,73072,29.875,2,138
73111,MZ,60,43.75,10.625,2.8,3.6,3.9,3.05,24.7,0.053537752,0.356267319,2.5,73111,43.75,2,120
73112,MZ,60,39.35,15.35,1.8,2.2,3.15,4.25,20.1,0.690217704,0.670754111,5,73112,39.35,2,120
73361,MZ,59,38.575,5.4,1.95,3.95,4.2,5.2,18.075,0.382712675,0.41565196,5,73361,38.575,1,59
73362,MZ,59,43.35,20.475,1.5,2.1,4.15,3.85,18.55,0.814724297,0.841453045,5,73362,43.35,1,59
73411,MZ,75,27.6,3.525,1.45,3.45,2.8,4.3,27.2,-0.254624906,0.687486099,0,73411,27.6,1,75
73412,MZ,75,14.2,-0.175,1.65,3.8,3.5,3.55,32.7,0.125039641,0.004921731,0,73412,14.2,1,75
73451,MZ,48,41.95,-0.325,1.55,3,4.5,4.95,19.7,0.132200155,0.079250214,5,73451,41.95,1,48
73452,MZ,48,34.975,2.725,1.85,3.2,2.4,3.4,19.675,0.131109921,0.26708628,5,73452,34.975,1,48
73511,MZ,52,33.75,7.375,1.5,2.3,2.75,4.25,15.3,0.696015265,0.671211076,5,73511,33.75,1,52
73512,MZ,52,40.25,15.6,1.65,4.05,4.1,3.75,13.8,0.690894071,0.927881791,5,73512,40.25,1,52
73581,MZ,72,17.2,7.425,1.6,2.2,2.15,5.1,27.25,0.095037597,0.699084782,7.5,73581,17.2,1,72
73582,MZ,72,17.9,-0.825,1.25,1.55,1.35,4.6,25.75,-0.259752023,0.611381458,2.5,73582,17.9,1,72
73651,DZ,51,35.9,2.775,1.2,1.6,3.75,3.5,26.2,0.312915565,0.77665966,0,73651,35.9,1,51
73652,DZ,51,41.225,6.075,1.05,2.45,2.65,3.1,16.675,0.185972698,0.413183746,2.5,73652,41.225,1,51
73701,MZ,56,43.075,16.375,2.9,3.9,4.6,4.3,25.325,0.474737155,0.77245568,12.5,73701,43.075,1,56
73702,MZ,56,37.15,10.95,1.55,3.55,3.8,4.6,15.05,0.711003458,0.907491713,5,73702,37.15,1,56
73851,MZ,29,35.525,7.275,1.8,4.1,4.4,5.05,16.125,0.364556296,0.642622341,2.5,73851,35.525,1,29
73852,MZ,29,39.3,5.925,1.8,3.4,3.9,3.65,18.75,0.439088641,0.147215554,5,73852,39.3,1,29
75171,MZ,53,27.2,4.55,1.5,3.5,3.5,3.15,24.75,0.37550074,0.483333106,0,75171,27.2,1,53
75172,MZ,53,32.775,7.775,2.15,3.95,2.35,3.5,19.275,0.223298934,0.331468827,5,75172,32.775,1,53
75521,DZ,35,40.15,10.35,1.85,2.35,3,4.05,13.75,0.556804982,0.879027006,5,75521,40.15,1,35
75522,DZ,35,46.65,9.2,1.75,4.2,4,3.9,13.2,0.59659473,0.797133912,0,75522,46.65,1,35
76151,MZ,24,22.725,-1.625,1.05,2.85,1.25,4.75,22.075,-0.039308722,0.233458116,5,76151,22.725,1,24
76152,MZ,24,21.775,1.95,1.25,1.95,1.85,6,32.425,0.16060526,-0.025272913,2.5,76152,21.775,1,24
76591,MZ,47,30.35,11.275,1.55,4.8,4.8,4,18.85,0.70313906,0.854423037,2.5,76591,30.35,1,47
76592,MZ,47,25.375,5.95,1.7,4.85,4.8,4.7,23.275,0.359150595,0.716984477,0,76592,25.375,1,47
76761,DZ,63,33.425,5.375,1.65,3.95,3.25,4.3,22.725,0.055426621,-0.128189695,2.5,76761,33.425,1,63
76762,DZ,63,27.725,18.05,1.65,3.35,3.05,4.45,28.075,0.205248773,0.322832925,2.5,76762,27.725,1,63
76961,MZ,49,39.625,-0.7,2.3,3.9,3.55,3.8,17.425,0.299548576,0.557393604,2.5,76961,39.625,1,49
76962,MZ,49,40.6,4.35,2.25,2.25,2.55,2.85,21.2,-0.136431928,-0.251934361,7.5,76962,40.6,1,49
77571,MZ,60,25.75,3.95,1.2,4.85,6,5.65,21.15,-0.048370681,0.451691939,0,77571,25.75,1,60
77572,MZ,60,35.675,12.35,1.25,5.25,4.5,5.6,22.425,0.441144559,0.608754522,2.5,77572,35.675,1,60
77661,DZ,64,26.175,2.625,1.5,2.8,2.95,3.65,23.025,0.284112741,0.125109468,7.5,77661,26.175,1,64
77662,DZ,64,37.6,17.7,1.95,3.35,3.15,4,15.3,0.711802928,0.726385424,12.5,77662,37.6,1,64
77681,MZ,65,30.775,2.425,1.1,1.3,3,4.8,17.175,0.147662832,-0.034267863,0,77681,30.775,1,65
77682,MZ,65,40.175,4.875,1.4,3.75,4.75,4.6,16.125,0.187285728,0.626158366,0,77682,40.175,1,65
77771,MZ,23,35.45,6.325,1.6,2.1,3.95,3.9,15.6,0.272123435,0.584350227,5,77771,35.45,1,23
77772,MZ,23,30.05,4.375,1.9,3.75,3.15,3.75,17.85,0.384895737,-0.060718215,7.5,77772,30.05,1,23
77871,DZ,55,37.375,-1.6,1.45,3.65,4.75,4.95,12.275,0.305509152,0.145670975,0,77871,37.375,1,55
77872,DZ,55,37.675,6.2,1.3,2,4.4,5.15,12.825,0.21961283,0.586689019,5,77872,37.675,1,55
78041,MZ,24,42.4,14.925,2.7,3.75,3.65,4.15,15.85,0.841089513,0.984022043,22.5,78041,42.4,1,24
78042,MZ,24,41.425,14.625,2.45,4.05,4.2,3.4,16.375,0.727198704,0.795918074,10,78042,41.425,1,24
78111,MZ,36,42.75,18.225,1.45,3.4,3.65,5.05,18.2,0.582521222,0.839863872,0,78111,42.75,1,36
78112,MZ,36,44.45,10.45,1.3,1.55,3.7,4.85,13.25,0.694060967,0.842312599,5,78112,44.45,1,36
78121,MZ,24,38.625,16.325,1.1,1.7,2.4,5.5,17.625,0.649491085,0.716317223,0,78121,38.625,1,24
78122,MZ,24,27.975,13.525,1,3.35,3.7,4.5,19.925,0.619170143,0.57516175,0,78122,27.975,1,24
78221,MZ,58,19.55,1.8,1.6,2.95,3.25,4.4,22.3,0.275085131,0.372248147,17.5,78221,19.55,1,58
78222,MZ,58,38.75,3.6,1.65,3.2,4,5.1,13,0.47628341,0.598856578,10,78222,38.75,1,58
78681,MZ,48,46.2,9.075,1.45,3.45,2.65,2.8,15.9,0.163378842,0.494362046,2.5,78681,46.2,1,48
78682,MZ,48,37.3,15.925,1.25,1.25,1.95,2,18.95,0.713895744,0.818283108,2.5,78682,37.3,1,48
78781,MZ,65,30.4,4.25,1.85,5.1,4.55,4.2,22.65,-0.026178007,-0.198314601,0,78781,30.4,1,65
78782,MZ,65,32.35,4.875,1.9,5.7,5,4.95,19.4,0.213602876,0.187729013,2.5,78782,32.35,1,65
78841,MZ,64,42.775,17.425,1.5,3.05,4.45,3.15,16.075,0.493170308,0.749351121,0,78841,42.775,1,64
78842,MZ,64,22.225,3.325,1.4,3.75,5,4.75,30.325,-0.018696287,0.275855001,5,78842,22.225,1,64
78871,MZ,25,28.9,9.525,1.4,1.7,2.35,4.55,24.5,-0.041075142,0.402572159,0,78871,28.9,1,25
78872,MZ,25,39.875,5.625,1.6,1.95,3.05,3.8,17.875,0.014079989,0.228063219,2.5,78872,39.875,1,25
78911,MZ,52,28.3,4.425,2,1.9,3.15,4.75,24.95,0.157297045,0.322257496,0,78911,28.3,1,52
78912,MZ,52,43.5,8.675,1.3,3.7,3.75,5.3,14.2,0.070028027,0.428400008,2.5,78912,43.5,1,52
78951,DZ,58,24.975,4.2,1.4,1.9,1.35,3.3,25.825,-0.081621675,0.454796924,7.5,78951,24.975,1,58
78952,DZ,58,23.6,-2.3,1.45,2.4,3.65,3.6,21.8,0.297313486,0.199479839,2.5,78952,23.6,1,58
78981,MZ,31,43.05,2.175,1.45,3.1,3.2,5.05,21.6,0.057481925,0.118074416,0,78981,43.05,1,31
78982,MZ,31,36.25,10.35,1.5,2.65,3.65,4.55,14.5,0.673271289,0.61037706,7.5,78982,36.25,1,31
79181,MZ,48,27.65,-1.825,1.95,3.55,4.55,4.85,20.5,0.030030385,0.509831227,5,79181,27.65,1,48
79182,MZ,48,15.225,4.35,1.35,5.55,1.45,5.2,27.925,-0.007169753,-0.237082003,0,79182,15.225,1,48
79251,MZ,46,33.9,2.175,1.3,3.65,2.2,3.15,24.55,0.356565229,0.677925285,0,79251,33.9,1,46
79252,MZ,46,15.325,-6.7,1.35,3,2.5,4.1,25.275,0.025036616,0.969167442,0,79252,15.325,1,46
79291,MZ,30,32.125,1.725,1.5,1.5,2.2,5.25,19.575,-0.086173631,0.400194717,0,79291,32.125,1,30
79292,MZ,30,24.425,0.175,1.15,2.65,2.55,3.9,21.075,-0.021309276,0.400818643,10,79292,24.425,1,30
79601,MZ,48,45.8,15.8,1.75,2.65,4.75,5.35,18,0.590213499,0.810040272,2.5,79601,45.8,2,96
79602,MZ,48,37.275,6.475,1.9,1.45,2.45,3.3,23.625,0.086042867,0.296717203,5,79602,37.275,2,96
79701,MZ,28,38.425,8.35,1.3,1.65,1.15,3.65,18.325,0.254238975,0.329070843,5,79701,38.425,1,28
79702,MZ,28,37.175,10.7,1.55,2.45,2.95,4.05,16.225,0.584543864,0.695519977,5,79702,37.175,1,28
79741,MZ,22,35.475,5.85,1.35,2.4,1.85,2.15,17.275,0.176285001,0.350830114,5,79741,35.475,1,22
79742,MZ,22,23.85,5,1.05,1.2,1,2.3,22.95,0.297461812,0.255049457,7.5,79742,23.85,1,22
79811,MZ,31,34.875,4.25,1.5,2.2,2.4,4.4,16.775,-0.01084896,-0.107212674,0,79811,34.875,1,31
79812,MZ,31,32.85,5.225,1.5,2.7,3.5,4.85,19.35,0.122224954,0.45988622,5,79812,32.85,1,31
79941,MZ,31,33.2,4,1.2,3.15,3.25,4.2,20.3,0.286733644,0.457363057,2.5,79941,33.2,1,31
79942,MZ,31,34.325,8.05,1.15,2.6,3.35,4.8,17.275,0.569687211,0.576208208,0,79942,34.325,1,31
80001,MZ,61,35.6,11.3,1.7,1.4,6,1.6,18.55,0.641122078,0.922262031,0,80001,35.6,1,61
80002,MZ,61,18.275,-0.675,1.75,1.95,5.25,3,26.625,0.153277073,0.612614205,0,80002,18.275,1,61
80821,MZ,61,37.05,8.45,1.15,1.75,1.75,1.5,13.25,0.312050159,0.847103841,0,80821,37.05,1,61
80822,MZ,61,40.025,7.525,1.9,3.4,2.8,2.2,17.575,0.270611299,0.914832033,0,80822,40.025,1,61
81101,MZ,24,31.475,10.95,1.15,2.85,3.2,4.9,23.275,0.206695387,0.403527549,10,81101,31.475,1,24
